kode_klasifikasi;jenis_klasifikasi;jenis_arsip;waktu_aktif_num;waktu_aktif_ket;waktu_inaktif_num;waktu_inaktif_ket;nasib_akhir;nasib_akhir_ket
PK 06.01;Substantif;"Penyuluhan dan Pencegahan : Naskah-naskah yang berkaitan dengan kegiatan Penyuluhan dan Pencegahan, KIE
";1;;1;;Musnah;
PK 06.02;Substantif;"Perawatan Dasar dan Kelompok Rentan : Naskah-naskah  yang  berkaitan  dengan  kegiatan  Manula, Disabilitas, Kelompok Rentan di UPT Pemasyarakatan
";1;;1;;Musnah;
PK 06.03;Substantif;"Perawatan Mental dan Paliatif : Naskah-naskah yang berkaitan dengan kegiatan Perawatan Mental, Kegiatan Paliatif, Laporan Kematian, Kesehatan Jiwa
";1;;1;;Musnah;
PK 06.04;Substantif;"Rujukan : Naskah-naskah yang berkaitan dengan Telaah Medis
Rujukan, Telaah Izin Berobat, dan Laporan JKN
";1;;1;;Musnah;
PK 06.05;Substantif;"Rehabilitasi Ketergantungan Napza : Naskah-naskah yang berkaitan dengan kegiatan Rehabilitasi NAPZA
";1;;1;;Musnah;
PK 06.06;Substantif;"Perawatan HIV/AIDS : Naskah-naskah yang berkaitan dengan kegiatan Perawatan HIV/AIDS
";1;;1;;Musnah;
PK 07.01;Substantif;"Registrasi Benda Sitaan/Rampasan Negara : Naskah-naskah yang berkaitan dengan kegiatan registrasi, penerimaan, pendaftaran, penyimpanan dan pengeluaran
benda sitaan/barang rampasan negara
";2;Tahun setelah inkraacht;3;;Musnah;
PK 07.02;Substantif;"Penilaian  dan  Klasifikasi  Benda  Sitaan/Barang  Rampasan
Negara : Naskah-Naskah  yang berkaitan  dengan kegiatan pemeliharaan dan  pemusnahan Benda Sitaan/Barang
Rampasan Negara

";2;Tahun setelah inkraacht;3;;Musnah;
PK 07.03;Substantif;"Pemeliharaan dan Pemusnahan Benda Sitaan/Barang
Rampasan Negara : Naskah-Naskah  yang berkaitan  dengan kegiatan pemeliharaan dan  pemusnahan Benda Sitaan/Barang
Rampasan Negara

";2;Tahun setelah inkraacht;3;;Musnah;
PK 07.04;Substantif;"Keamanan dan Pengawasan Benda Sitaan/Barang Rampasan
Negara : Naskah-naskah yang berkaitan dengan kegiatan :
- Pengamanan, Penjagaan Benda Sitaan/Barang Rampasan Negara
- Laporan Pencurian, Penggelapan dan Penghilangan Benda
Sitaan/Barang Rampasan Negara

 ";2;Tahun setelah inkraacht;3;;Musnah;
